date	resort	author	article	article-cicker	workload-index	
02.01.2020 06:00:00	wirtschaft	Claudia Ruff	Uniqa-Chef: "Private Krankenversicherung entlastet das Gesundheitssystem"	Versicherer	24435
02.01.2020 17:04:00	web	gpi	Von Android-Tablets bis Juicero: Die größten Techfails des Jahrzehnts	Trends	19242
02.01.2020 15:09:00	web	red	Samsung veröffentlicht Android 10 für Galaxy Note 9	Android	4287
02.01.2020 12:35:00	web	red	Google KI bei Brustkrebserkennung besser als Menschen	Forschung	7586
02.01.2020 09:26:00	web	red	"Cyberbedrohung": US Army verbietet Tiktok-Nutzung	Netzpolitik	8219
02.01.2020 08:26:00	web	red	Amazons zweiter Angestellter fordert Zerschlagung des IT-Giganten	Netzpolitik	10150
02.01.2020 10:40:00	web	apo	Urabstimmung: Debian entscheidet sich vor allem für Systemd	Linux	7984
02.01.2020 10:39:00	web	mawa	Gratisversand: Wie oft schicken Sie Packerln zurück?	Mitreden	3342
02.01.2020 09:00:00	web	Rainer Sigl	Die zehn besten Mobile Games des Jahres	Best of 2019	16176
02.01.2020 08:24:00	web	APA	Ars Electronica für Chef Stocker seit 25 Jahren "der beste Ort"	Festival	13922
02.01.2020 15:44:00	sport	APA/dpa	Adi Hütter als Krisenmanager bei der Frankfurter Eintracht	Deutsche Bundesliga	9210
02.01.2020 14:46:00	sport	APA/dpa	Festnahmen wegen Rassismus und Homophobie in Brighton	Premier League	4002
02.01.2020 12:50:00	sport	APA/dpa	Dartsweltmeister Wright: "Hatte das Gefühl, dass ich jetzt einfach dran bin"	Darts	14404
02.01.2020 15:24:00	sport	sid	Ibrahimovic in Mailand: "San Siro wird vor Freude brodeln"	Transfermarkt	10685
02.01.2020 14:32:00	sport	sid	Dortmund plant Aufholjagd: Haaland da, was nun?	Deutsche Bundesliga	9405
02.01.2020 12:00:00	sport	sid	Noriaki Kasai: Flugsaurier vom Aussterben bedroht	Skispringen	10133
02.01.2020 08:00:00	sport	sid	ATP Cup: Buschbrände als unberechenbarer Faktor für Djokovic, Thiem und Co in Australien	Tennis	10111
02.01.2020 13:06:00	sport	APA	Manuel Feller vor Renn-Comeback	Ski Alpin: Herren-Weltcup	4007
02.01.2020 12:03:00	sport	APA	Mourinho on fire: Beschimpft einen Southampton-Coach als Idioten	Premier League	7899
02.01.2020 10:34:00	sport	APA	Alaba für "kicker" zweitbester Innenverteidiger in Deutschland	Deutsche Bundesliga	4266
02.01.2020 10:10:00	sport	APA	Lazio Rom interessiert sich für Salzburger Szoboszlai	Red Bull Salzburg	4198
02.01.2020 12:03:00	sport	honz	Mourinho on fire: Beschimpft einen Southampton-Coach als Idioten	Premier League	7899
02.01.2020 12:00:00	sport	red	Noriaki Kasai: Flugsaurier vom Aussterben bedroht	Skispringen	10133
02.01.2020 08:00:00	sport	red	ATP Cup: Buschbrände als unberechenbarer Faktor für Djokovic, Thiem und Co in Australien	Tennis	10111
02.01.2020 19:10:00	panorama	APA	Drei Tatverdächtige für Brand im Affenhaus des Krefelder Zoos ermittelt	Affentod	7049
02.01.2020 14:10:00	panorama	APA	Zahl der Flutopfer in Indonesien auf mindestens 26 gestiegen	Klima	4864
02.01.2020 14:04:00	panorama	APA	Taiwanesischer Generalstabschef bei Helikopterunfall ums Leben gekommen	Unglück	10750
02.01.2020 13:27:00	panorama	APA	Bahnwärterin in Polen zu Neujahr volltrunken im Dienst	Prosit Neujahr!	3759
02.01.2020 13:02:00	panorama	APA	Rot-weiß-rotes Neujahrsbaby in Washington, D.C.	USA	3281
02.01.2020 13:59:00	panorama	Urs Wälterlin aus Canberra	Buschbrände: Größte Evakuierung in der Geschichte Australiens	Umweltkatastrophe	15662
02.01.2020 11:00:00	panorama	Gabriele Scherndl	Von einem Tag auf den anderen ohne Wohnung	Winterpaket	11693
02.01.2020 16:09:00	kultur	Katharina Rustler	Julia Haugeneder in der Musa-Startgalerie: Zerschnitten und gefaltet	Junge Kunst	7073
02.01.2020 15:45:00	kultur	Amira Ben Saoud	Partyplaner fürs Wochenende: Feiern wie heilige Partykönige	Was ist los in Wien?	9247
02.01.2020 09:00:00	kultur	Ronald Pohl	Betörende Filmdoku über Miles Davis	Filmkritik	11793
02.01.2020 17:12:00	etat	APA	Waldbrände: "Dschungelcamp" heuer ohne Lagerfeuer	Hauptsache Ekel	5227
02.01.2020 14:31:00	etat	red	Ibiza-"ZiB" meistgesehene Sendung im ORF 2019	Jahresmarktanteile	4447
02.01.2020 12:28:00	etat	red	Gernot Lercher leitet ORF-"Universum"-Redaktion	Jobwechsel	3137
02.01.2020 11:27:00	etat	red	Netflix ohne "Friends", Fans in den USA sauer	Serien	2727
02.01.2020 10:34:00	etat	red	Kurz und Kogler schlagen "Traumschiff"	Quoten	1978
02.01.2020 12:04:00	etat	Harald Fidler	Funke-Gruppe meldet bei Wettbewerbsbehörde alleinige Kontrolle über "Kronen Zeitung" an	Zeitungspoker	14445
02.01.2020 09:44:00	etat	Doris Priesching	Kurz und Kogler: "Kreuzfahrt ins Glück – jetzt"	TV-Tagebuch	3165
02.01.2020 06:00:00	etat	Oliver Mark	Meisterkomödiant Charlie Chaplin und Mythos Wolfskind: TV-Tipps für Donnerstag	Switchlist	12151
02.01.2020 12:37:00	wissenschaft	jdo	1:0 für die Lumper: Den Mini-Tyrannosaurus hat es nie gegeben	Adios, Nanotyrannus	18299
02.01.2020 11:16:00	wissenschaft	red	Permafrostböden reichten einst bis zum Kaspischen Meer	Blick in die Vergangenheit	10456
02.01.2020 09:30:00	wissenschaft	red	Österreicher halten stärker an regionaler Sprache fest als Deutsche	Dialekt mit hohem Stellenwert	14443
02.01.2020 08:00:00	wissenschaft	red	Einschlagkrater eines gewaltigen Asteroiden in Laos entdeckt	Schwerer Treffer	7665
02.01.2020 11:16:00	wissenschaft	APA	Permafrostböden reichten einst bis zum Kaspischen Meer	Blick in die Vergangenheit	10456
02.01.2020 09:30:00	wissenschaft	APA	Österreicher halten stärker an regionaler Sprache fest als Deutsche	Dialekt mit hohem Stellenwert	14443
